,name,time,month,day,hourly_temperature,hourly_wind_speed
44073,"BINGHAMTON GREATER AP, NY US",15,01,12,-3.2,5.3
44074,"BINGHAMTON GREATER AP, NY US",16,01,12,-3.5,4.9
44075,"BINGHAMTON GREATER AP, NY US",17,01,12,-4.1,4.6
44076,"BINGHAMTON GREATER AP, NY US",18,01,12,-4.6,4.5
44077,"BINGHAMTON GREATER AP, NY US",19,01,12,-4.8,4.5
44078,"BINGHAMTON GREATER AP, NY US",20,01,12,-5.1,4.5
44079,"BINGHAMTON GREATER AP, NY US",21,01,12,-5.3,4.5
44080,"BINGHAMTON GREATER AP, NY US",22,01,12,-5.5,4.5
44081,"BINGHAMTON GREATER AP, NY US",23,01,12,-5.7,4.5
44082,"BINGHAMTON GREATER AP, NY US",24,01,13,-6.3,4.5
44083,"BINGHAMTON GREATER AP, NY US",01,01,13,-5.9,4.5
44084,"BINGHAMTON GREATER AP, NY US",02,01,13,-6.1,4.4
44085,"BINGHAMTON GREATER AP, NY US",03,01,13,-6.2,4.5
44086,"BINGHAMTON GREATER AP, NY US",04,01,13,-6.3,4.3
44087,"BINGHAMTON GREATER AP, NY US",05,01,13,-6.3,4.3
44088,"BINGHAMTON GREATER AP, NY US",06,01,13,-6.4,4.3
44089,"BINGHAMTON GREATER AP, NY US",07,01,13,-6.4,4.4
44090,"BINGHAMTON GREATER AP, NY US",08,01,13,-6.5,4.3
44091,"BINGHAMTON GREATER AP, NY US",09,01,13,-6.0,4.5
44092,"BINGHAMTON GREATER AP, NY US",10,01,13,-5.3,4.8
44093,"BINGHAMTON GREATER AP, NY US",11,01,13,-4.6,5.1
44094,"BINGHAMTON GREATER AP, NY US",12,01,13,-4.1,5.3
44095,"BINGHAMTON GREATER AP, NY US",13,01,13,-3.7,5.3
44096,"BINGHAMTON GREATER AP, NY US",14,01,13,-3.4,5.3
44097,"BINGHAMTON GREATER AP, NY US",15,01,13,-3.4,5.3
44098,"BINGHAMTON GREATER AP, NY US",16,01,13,-3.7,5.0
44099,"BINGHAMTON GREATER AP, NY US",17,01,13,-4.3,4.6
44100,"BINGHAMTON GREATER AP, NY US",18,01,13,-4.7,4.6
44101,"BINGHAMTON GREATER AP, NY US",19,01,13,-5.0,4.5
44102,"BINGHAMTON GREATER AP, NY US",20,01,13,-5.3,4.6
44103,"BINGHAMTON GREATER AP, NY US",21,01,13,-5.6,4.6
44104,"BINGHAMTON GREATER AP, NY US",22,01,13,-5.7,4.6
44105,"BINGHAMTON GREATER AP, NY US",23,01,13,-5.9,4.5
44106,"BINGHAMTON GREATER AP, NY US",24,01,14,-6.5,4.6
